,user_id,item_id,recommend,posted year,sentiment_score
3855,76561198032651953,367500,True,,0
3855,76561198032651953,413150,True,,0
3856,tomas13a,258520,True,2015,0
3856,tomas13a,330840,True,2015,0
3856,tomas13a,206440,True,2015,0
3857,76561198044224232,24200,True,2014,0
3858,krittabun,252490,True,2014,0
3859,CatKawaii,440,True,2013,0
3860,cazaman11,427270,True,,0
3860,cazaman11,204300,True,2014,0
3861,76561198079652562,305620,True,2014,0
3862,CB0ng,730,True,,0
3862,CB0ng,377160,True,2015,0
3862,CB0ng,252490,True,2015,0
3862,CB0ng,440,True,2012,0
3863,76561198059899740,24200,True,2013,0
3864,76561198054131489,367670,True,2015,0
3864,76561198054131489,300380,True,2014,0
3864,76561198054131489,376870,True,2015,0
3864,76561198054131489,313120,True,2015,0
3865,CCP115,440,True,2012,0
3866,76561198090431959,35140,True,2014,0
3866,76561198090431959,208090,True,2014,0
3866,76561198090431959,304930,True,2014,0
3867,76561198054767146,4570,True,2014,0
3867,76561198054767146,3910,True,2013,0
3867,76561198054767146,220900,True,2013,0
3867,76561198054767146,295990,False,2015,0
3867,76561198054767146,440,True,2015,0
3868,76561198081434413,236430,True,2014,0
3869,centor111,252490,True,2014,0
3869,centor111,264140,True,2014,2
3870,Lord_Marius,236390,True,2014,0
3871,FinalBreakers,218620,True,2014,0
3871,FinalBreakers,224260,True,2014,0
3872,ClickOnThisLinkToAddMe,55230,True,2013,0
3872,ClickOnThisLinkToAddMe,49520,True,2015,0
3872,ClickOnThisLinkToAddMe,570,True,,2
3873,Chinnigan,393380,True,,0
3873,Chinnigan,265930,True,2014,0
3873,Chinnigan,219680,False,2014,2
3873,Chinnigan,263020,True,2014,0
3874,dannysfatass,322330,True,2015,0
3874,dannysfatass,230410,True,2015,2
3874,dannysfatass,385770,True,,0
3874,dannysfatass,427730,True,,0
3874,dannysfatass,252950,True,,0
3874,dannysfatass,312990,True,,2
3874,dannysfatass,359050,True,2015,0
3874,dannysfatass,311210,True,,0
3874,dannysfatass,369200,True,,2
3874,dannysfatass,304930,True,,0
3875,jbbuena,238960,True,2013,0
3875,jbbuena,203160,True,2013,0
3876,76561198072431907,212480,True,2013,0
3877,Ch3nst3r,261640,True,2015,0
3878,76561198087135044,218620,False,,0
3878,76561198087135044,232090,True,,2
3878,76561198087135044,440,True,2013,0
3879,10101010101010109,244850,True,2014,0
3880,thepedrochamp,250900,True,2015,0
3880,thepedrochamp,242920,True,,0
3881,auschandler,40100,True,2013,0
3881,auschandler,47410,True,2013,0
3881,auschandler,218230,True,2013,0
3881,auschandler,570,True,2013,0
3881,auschandler,440,True,2012,0
3881,auschandler,400,True,2011,0
3881,auschandler,41300,True,2011,0
3882,changingmags,252490,True,2014,0
3883,76561198026886919,230410,True,2014,0
3884,ChaoticRampage,72850,True,2015,0
3885,76561198054761819,730,True,2014,0
3886,Seralox,440,True,2015,0
3887,76561198033883963,211420,False,2014,2
3888,76561198057800009,285900,True,,0
3889,76561198064600203,49520,False,2015,0
3889,76561198064600203,234140,True,,0
3890,BirdieZ,333930,True,2015,0
3891,topkeklord7,51100,False,2014,2
3891,topkeklord7,42680,False,2014,0
3891,topkeklord7,226700,False,,2
3891,topkeklord7,326410,False,,0
3891,topkeklord7,385240,True,,2
3891,topkeklord7,91700,True,2015,0
3891,topkeklord7,367500,True,,0
3891,topkeklord7,362890,False,,0
3891,topkeklord7,296490,True,,0
3892,76561198071117635,8930,True,2014,0
3893,djcharles02,730,True,2015,0
3893,djcharles02,221640,True,2013,0
3894,76561198039506014,233250,False,2014,2
3894,76561198039506014,311340,True,2014,0
3894,76561198039506014,225540,False,2015,2
3894,76561198039506014,244850,False,2014,0
3895,76561198088838638,207140,True,2014,0
3896,76561198042441420,47870,True,2015,0
3896,76561198042441420,4700,True,2014,0
3897,76561198062406902,252490,True,2014,0
3898,76561198072346840,243870,True,2015,0
3898,76561198072346840,355840,True,2015,0
3898,76561198072346840,304050,True,2015,0
3898,76561198072346840,346900,True,2015,0
3898,76561198072346840,317360,True,2015,0
3898,76561198072346840,230410,True,2015,0
3898,76561198072346840,222900,True,2014,0
3899,11925219096,12210,True,2015,0
3900,76561198064696304,221100,True,,0
3901,pokeylegs,440,True,2012,0
3902,evankohgj,91310,True,2014,0
3902,evankohgj,391540,True,2015,2
3902,evankohgj,211420,True,2014,0
3902,evankohgj,236430,True,2014,0
3902,evankohgj,48700,True,2014,0
3903,76561198081284814,4000,True,2015,0
3904,76561198044585909,4000,True,2013,0
3905,76561198093166360,403190,True,2015,0
3905,76561198093166360,451520,True,,0
3906,chiefnemes,363970,True,2015,0
3907,76561198091066992,730,True,2014,0
3908,76561198084705916,274170,True,2015,0
3909,76561198065949365,252950,True,2015,0
3910,buttmutt,413410,True,,0
3910,buttmutt,282800,True,2014,2
3911,76561198075850578,440,True,2014,0
3912,76561198067285046,423880,True,2015,2
3912,76561198067285046,440,True,2015,0
3912,76561198067285046,730,True,,0
3912,76561198067285046,417860,True,2015,0
3912,76561198067285046,218620,True,2015,2
3913,chpmnksnpr,304930,True,2014,0
3914,Elchiruuuu114,207610,True,2014,0
3915,420BlzeIT,730,True,,0
3916,76561198085916165,22320,True,2014,0
3916,76561198085916165,550,True,2013,0
3916,76561198085916165,400,True,2014,0
3917,76561197994404698,70,True,,0
3917,76561197994404698,234140,True,,0
3917,76561197994404698,218230,True,2013,0
3917,76561197994404698,43160,True,2013,0
3917,76561197994404698,8870,True,2013,0
3917,76561197994404698,205100,True,2013,0
3917,76561197994404698,13230,True,2012,0
3917,76561197994404698,440,True,2011,0
3918,chlamydiaabbo,393380,True,,2
3919,76561198092369007,242920,True,2015,0
3919,76561198092369007,48700,True,2015,2
3919,76561198092369007,304930,True,2015,0
3919,76561198092369007,270550,True,2015,0
3919,76561198092369007,301640,True,2015,0
3919,76561198092369007,363970,True,2015,0
3919,76561198092369007,105600,True,2015,0
3919,76561198092369007,295110,False,2015,0
3919,76561198092369007,249050,True,2015,0
3920,chocodude,42910,True,2013,0
3920,chocodude,248820,True,2014,0
3921,76561198058192790,346110,True,2015,0
3921,76561198058192790,730,True,2014,0
3922,TempaDick,233130,True,,2
3922,TempaDick,417860,True,2015,0
3922,TempaDick,391720,True,,0
3922,TempaDick,387860,True,2015,0
3923,76561197968205306,49520,True,2014,0
3924,Chopstar1,218620,True,2014,0
3925,76561198063765495,4000,True,2015,0
3926,DSvictory,346110,True,2015,2
3926,DSvictory,351290,True,2015,0
3926,DSvictory,224260,True,2015,0
3927,barcafan835,205910,True,2013,0
3927,barcafan835,240,True,2013,0
3927,barcafan835,346010,True,2015,2
3927,barcafan835,266510,True,2015,0
3928,Chri-SEX-iled,105600,True,2014,0
3929,ChrispyCertifiedAustralian,252950,True,,0
3930,76561198017957749,304930,False,2015,2
3931,HyperionDooM93,218620,True,2014,0
3931,HyperionDooM93,730,True,2014,0
3931,HyperionDooM93,422400,True,,0
3931,HyperionDooM93,304050,True,2015,0
3931,HyperionDooM93,293500,True,2014,0
3931,HyperionDooM93,322330,True,2014,0
3931,HyperionDooM93,225280,True,2014,0
3931,HyperionDooM93,49520,True,2014,0
3931,HyperionDooM93,230410,True,2014,0
3931,HyperionDooM93,238460,True,2014,0
3932,76561198014580082,227800,True,,2
3932,76561198014580082,239220,False,2014,2
3932,76561198014580082,230410,True,,0
3932,76561198014580082,378041,True,,0
3932,76561198014580082,219890,True,2015,2
3932,76561198014580082,105600,True,2014,0
3932,76561198014580082,630,True,2013,0
3933,chewyi,730,True,2014,0
3933,chewyi,240,True,2015,0
3933,chewyi,212070,True,2015,0
3933,chewyi,209650,False,2015,0
3933,chewyi,22350,False,2015,2
3933,chewyi,252950,True,2015,0
3933,chewyi,10,True,2014,0
3933,chewyi,570,True,2014,0
3934,Rekoonoftherekoons,304930,True,2015,0
3934,Rekoonoftherekoons,113400,True,2014,0
3934,Rekoonoftherekoons,12210,True,,2
3935,76561198142474106,4000,True,2015,2
3935,76561198142474106,363620,False,2015,0
3935,76561198142474106,397340,True,2015,0
3935,76561198142474106,107410,False,2015,0
3936,cianaatech,249130,True,2014,0
3937,Phor8,269210,True,2014,0
3937,Phor8,369580,False,,0
3937,Phor8,353370,False,,0
3938,ciku85,570,True,2014,0
3939,76561198091490622,9180,True,2013,0
3940,OfficialSenix,312280,True,2015,0
3940,OfficialSenix,417860,False,2015,2
3940,OfficialSenix,440,True,2015,0
3940,OfficialSenix,311210,False,2015,0
3940,OfficialSenix,227940,False,2015,0
3940,OfficialSenix,730,True,2014,0
3940,OfficialSenix,4000,False,2015,0
3940,OfficialSenix,273110,False,2015,0
3940,OfficialSenix,570,False,2015,0
3940,OfficialSenix,224260,True,2015,2
3941,disizmehprofile,389220,True,,0
3941,disizmehprofile,407420,False,,0
3941,disizmehprofile,227680,False,2015,0
3941,disizmehprofile,330710,True,2014,0
3941,disizmehprofile,223490,False,2014,0
3941,disizmehprofile,221640,True,2014,0
3942,DiamondSwordBeGod,239660,True,2013,0
3942,DiamondSwordBeGod,204300,True,2014,0
3942,DiamondSwordBeGod,228560,False,,2
3942,DiamondSwordBeGod,15000,False,2015,0
3942,DiamondSwordBeGod,91700,True,2014,0
3942,DiamondSwordBeGod,322500,True,,0
3942,DiamondSwordBeGod,242680,False,,0
3942,DiamondSwordBeGod,242860,True,,2
3943,clashmecha,275850,True,,0
3944,76561198051461196,240,True,2014,0
3945,plskillmenow,342380,True,2015,2
3946,76561198034463083,243560,True,2015,0
3947,greenclaweddragon,105600,True,2014,0
3947,greenclaweddragon,440,True,2014,0
3947,greenclaweddragon,570,True,2014,0
3947,greenclaweddragon,72850,True,2014,0
3947,greenclaweddragon,261640,True,2014,0
3948,76561198065705830,242880,True,2014,0
3949,cloneninjalol,207610,True,2014,0
3950,michaelbruce,730,True,2015,0
3950,michaelbruce,252490,True,2015,0
3950,michaelbruce,208090,True,2014,0
3951,76561198064609857,291480,False,2014,2
3952,76561198076069088,274900,True,2015,2
3952,76561198076069088,253430,True,2015,0
3952,76561198076069088,346110,True,2015,0
3952,76561198076069088,440,True,2014,0
3953,76561198072556585,550,False,,0
3954,cmuir37,,,,0
3955,Slayer-Bld,440,True,2015,0
3956,76561198085107888,440,True,2013,0
3957,splonkeydonkey,252950,True,2015,0
3958,76561198047185717,292030,True,,0
3958,76561198047185717,252490,False,2014,0
3959,codedj,294100,True,,0
3960,76561198041444919,221100,True,,0
3961,76561198019443690,304930,True,,0
3962,76561198053175659,211820,True,2014,0
3963,stingingroger,22380,True,2015,0
3964,PotatoMan1,113020,True,2014,0
3965,76561198060870618,227940,False,2015,0
3965,76561198060870618,295110,True,,0
3965,76561198060870618,304930,True,2014,0
3966,76561198090548578,730,True,,0
3967,76561197982665201,319630,True,2015,0
3967,76561197982665201,232430,True,2014,0
3967,76561197982665201,345820,True,2015,2
3968,Sorefinger,218620,True,,0
3969,76561198096443555,730,True,2015,0
3969,76561198096443555,221100,False,2014,0
3969,76561198096443555,227940,True,2014,0
3969,76561198096443555,263540,False,2014,0
3969,76561198096443555,295110,True,2015,0
3969,76561198096443555,242860,True,,0
3969,76561198096443555,241930,True,2014,2
3969,76561198096443555,252490,True,2014,0
3970,comicalcorn,49520,True,2014,0
3970,comicalcorn,206420,True,2014,0
3971,16538,205100,True,2013,0
3971,16538,365590,True,,0
3971,16538,374320,True,,0
3971,16538,250320,True,2014,0
3972,76561198050243948,72850,True,2014,0
3973,KetsuKixBunni,342200,True,,2
3973,KetsuKixBunni,550,True,2015,0
3974,76561198079356698,25000,True,2014,0
3975,Engurneer,70,True,,0
3975,Engurneer,220,True,,0
3975,Engurneer,346010,True,,2
3975,Engurneer,304930,True,2015,0
3975,Engurneer,218230,True,2015,0
3975,Engurneer,620,True,2015,0
3975,Engurneer,221910,True,2015,2
3975,Engurneer,72200,False,2015,0
3975,Engurneer,233250,False,2014,2
3976,Fried_Bacon,266840,False,,0
3976,Fried_Bacon,296490,True,,0
3976,Fried_Bacon,242920,True,,0
3976,Fried_Bacon,237930,True,2015,0
3976,Fried_Bacon,105600,True,2015,0
3976,Fried_Bacon,49520,True,2015,0
3977,MT-101,334230,True,2015,0
3978,Alzahar,337040,True,2014,2
3978,Alzahar,35450,True,2014,0
3978,Alzahar,219640,True,2014,0
3979,_fatlass_,444090,False,,0
3979,_fatlass_,57300,True,2014,2
3980,CoNnEcT500BR,730,True,2015,2
3980,CoNnEcT500BR,33930,True,2015,0
3980,CoNnEcT500BR,42910,True,2014,0
3980,CoNnEcT500BR,620,True,2014,2
3980,CoNnEcT500BR,8930,True,2015,2
3980,CoNnEcT500BR,302670,True,2015,0
3981,Meyjax,307780,False,2015,0
3981,Meyjax,232090,True,2015,0
3981,Meyjax,332800,True,2014,0
3982,Connor5620,402020,False,,0
3983,Azuralis,493370,False,,0
3984,76561198051976770,1250,True,2013,0
3985,76561198064532072,105600,True,2015,0
3986,MrStealYourGirlZ,200210,True,2015,0
3987,MehPonys,4000,True,2013,0
3987,MehPonys,226700,True,2014,0
3988,76561198072036519,730,True,2015,0
3989,76561198064427658,311210,False,2015,2
3989,76561198064427658,252950,False,,2
3989,76561198064427658,207490,False,2015,2
3989,76561198064427658,210770,True,2015,0
3990,76561198040900746,550,True,2013,0
3991,COOKIESCOOKIES123,218620,True,2014,0
3991,COOKIESCOOKIES123,236110,True,2014,0
3991,COOKIESCOOKIES123,200510,True,2014,0
3992,kodiakbear52,271590,True,2015,0
3992,kodiakbear52,49520,True,2013,0
3993,76561198040183690,346110,True,2015,2
3993,76561198040183690,327890,True,2015,0
3993,76561198040183690,334040,False,2015,0
3993,76561198040183690,350150,False,2015,2
3993,76561198040183690,344760,True,2015,0
3993,76561198040183690,265750,True,2014,0
3993,76561198040183690,265930,True,2014,0
3994,Haydzz,4000,True,2014,0
3995,76561198074571299,440,True,2014,0
3995,76561198074571299,314160,True,,0
3995,76561198074571299,204360,True,2015,0
3995,76561198074571299,730,True,2014,0
3996,76561198075584298,730,True,,0
3996,76561198075584298,440,False,2014,2
3996,76561198075584298,243870,False,2014,2
3997,coollord,440,True,2015,0
3997,coollord,413150,True,,0
3998,zombiehackerbrah,205100,True,2015,0
3998,zombiehackerbrah,287390,True,2015,0
3999,76561198142398530,440,True,2015,0
3999,76561198142398530,4000,True,2015,0
3999,76561198142398530,304930,True,2015,0
4000,essex666,211420,True,2014,2
4001,76561198146831507,227940,True,2015,0
4001,76561198146831507,48700,True,2015,0
4002,aaronaaronaaron,335840,True,2015,0
4002,aaronaaronaaron,413150,True,,2
4002,aaronaaronaaron,570,True,2012,2
4003,76561198038904573,230410,True,2013,0
4004,coregetsscores,218620,True,2015,0
4005,76561198098364705,730,True,2014,0
4006,CornBeard,91310,True,2014,0
4006,CornBeard,4000,True,2014,0
4006,CornBeard,440,True,2014,0
4006,CornBeard,216250,True,2013,2
4006,CornBeard,352460,True,2015,0
4006,CornBeard,49520,True,2014,0
4006,CornBeard,240,True,2014,0
4007,PintoProAlto,245550,True,2014,0
4007,PintoProAlto,570,True,2014,0
4007,PintoProAlto,219640,True,2015,2
4007,PintoProAlto,4000,True,2014,2
4007,PintoProAlto,113200,True,2013,2
4007,PintoProAlto,440,True,2014,0
4007,PintoProAlto,204360,True,2015,0
4007,PintoProAlto,620,True,2013,0
4008,76561198061187428,55230,True,2014,0
4008,76561198061187428,377160,True,,0
4008,76561198061187428,214490,True,2014,0
4008,76561198061187428,243870,False,,0
4008,76561198061187428,252490,False,2015,2
4008,76561198061187428,304930,False,2014,2
4008,76561198061187428,22370,True,2014,0
4009,Corporal_Punishment,220200,True,2015,0
4009,Corporal_Punishment,440,True,2015,0
4010,76561198097864769,500,True,2014,0
4011,76561198082142359,730,True,2015,0
4012,Aviatorch,4000,True,2014,2
4013,santa100,570,True,2014,0
4014,76561198035005990,304430,True,,0
4015,Ibukismywaifuforlaifu,204360,True,,0
4016,Bad_Sleeping_Pattern_101,8190,True,2015,0
4017,76561198044664331,8930,True,2013,0
4018,sealbloke,228380,True,2014,0
4019,723943123,239140,True,2015,0
4019,723943123,221100,True,2014,0
4019,723943123,218620,True,2015,0
4019,723943123,730,True,,0
4019,723943123,209870,False,2015,0
4019,723943123,271590,True,2015,0
4019,723943123,107410,True,2015,0
4020,76561198095457579,206210,True,2014,0
4021,CaptMcMurder,265630,True,2014,0
4021,CaptMcMurder,244850,True,2014,0
4021,CaptMcMurder,208090,True,2014,0
4022,76561198050407999,730,True,2015,0
4023,crualninja,401190,True,2015,0
4024,PokeyStabbyThing,222880,True,2014,0
4025,fireawesome,252490,True,2014,2
4026,76561198042087397,250900,True,,0
4027,Crafe,200210,False,2014,0
4027,Crafe,219150,True,2015,0
4027,Crafe,332500,True,2015,0
4027,Crafe,413150,True,,2
4027,Crafe,233450,True,2015,0
4027,Crafe,491260,True,,0
4028,chocolate-donut-king,225840,True,,2
4028,chocolate-donut-king,4000,True,2013,0
4028,chocolate-donut-king,730,True,2015,2
4028,chocolate-donut-king,440,True,2013,0
4029,76561198057707533,275850,False,,2
4030,HotDogKid47,317820,True,2015,0
4030,HotDogKid47,730,True,2014,2
4030,HotDogKid47,440,True,2014,0
4031,crashsg32hatesspam,265930,False,2014,0
4031,crashsg32hatesspam,266490,True,2014,0
4031,crashsg32hatesspam,72850,True,2014,2
4031,crashsg32hatesspam,31280,True,2014,0
4031,crashsg32hatesspam,234710,True,2014,2
4031,crashsg32hatesspam,233720,True,2014,0
4031,crashsg32hatesspam,207490,True,2013,0
4032,76561198068831727,7670,True,2015,0
4032,76561198068831727,238460,True,2015,0
4032,76561198068831727,230410,True,2015,0
4032,76561198068831727,227300,True,2015,2
4032,76561198068831727,8850,False,2015,0
4032,76561198068831727,8870,True,2015,0
4032,76561198068831727,286100,True,2014,0
4033,note551,730,True,2014,0
4033,note551,72850,True,2014,0
4033,note551,230410,True,2013,2
4033,note551,99900,True,2013,2
4033,note551,440,True,2013,2
4034,76561198093983570,360940,True,2015,0
4034,76561198093983570,252330,True,2014,0
4035,artem_zhigarev,221100,True,2014,0
4036,CrazyBones,410670,True,,0
4037,76561198073515046,219640,True,2013,0
4038,76561198007571248,222730,True,2013,0
4038,76561198007571248,12900,True,2013,0
4039,13971397,211420,True,,2
4039,13971397,271590,True,,0
4039,13971397,313740,True,,0
4039,13971397,22380,True,2014,2
4039,13971397,312990,True,2014,0
4040,CRAZYASIANGAMER1,730,True,,0
4040,CRAZYASIANGAMER1,204100,True,2014,0
4040,CRAZYASIANGAMER1,550,True,2014,0
4041,Dythoras,209160,True,,0
4041,Dythoras,409710,True,,0
4041,Dythoras,307780,True,,0
4041,Dythoras,275850,False,,0
4041,Dythoras,292030,True,,0
4041,Dythoras,346900,True,2015,0
4041,Dythoras,72850,True,2014,2
4041,Dythoras,550,True,2014,0
4042,76561198045865055,440,True,2012,0
4042,76561198045865055,570,False,2015,0
4043,CrazyKidGo,72850,True,2014,0
4043,CrazyKidGo,293260,True,2015,0
4043,CrazyKidGo,374320,True,,0
4043,CrazyKidGo,211420,True,,0
4043,CrazyKidGo,204360,False,2015,2
4043,CrazyKidGo,269210,True,2014,0
4044,76561198103389855,10090,True,2015,0
4045,76561197983697443,236390,True,2013,0
4045,76561197983697443,209870,True,2013,0
4045,76561197983697443,730,True,2012,0
4045,76561197983697443,275850,True,,2
4045,76561197983697443,306130,True,2014,0
4045,76561197983697443,219640,True,2014,0
4045,76561197983697443,243470,True,2014,0
4045,76561197983697443,248140,False,2013,0
4046,76561197983633274,4920,True,2014,0
4047,76561198080133542,204300,True,2014,0
4048,76561198058177382,274310,True,,0
4049,76561198095839864,381120,True,,0
4049,76561198095839864,212680,True,2014,0
4049,76561198095839864,264140,True,2014,0
4049,76561198095839864,440,True,2013,0
4049,76561198095839864,210770,True,2014,2
4049,76561198095839864,252490,True,2014,0
4049,76561198095839864,298160,True,2015,0
4049,76561198095839864,275850,True,,0
4049,76561198095839864,247950,True,2015,0
4049,76561198095839864,105600,True,2013,0
4050,mrwillsy,113200,True,2014,2
4051,Razorleaff,322070,True,2014,0
4051,Razorleaff,211820,True,2013,0
4051,Razorleaff,340340,True,2015,0
4052,76561198047639654,241930,True,2014,0
4052,76561198047639654,107410,True,2014,0
4053,76561198092068521,400,True,2015,0
4053,76561198092068521,220,True,2015,0
4053,76561198092068521,224260,False,2014,0
4054,76561198086428888,221380,True,,0
4054,76561198086428888,252490,True,2014,0
4055,icripsy,72850,True,2014,0
4056,3046123,4000,True,2015,0
4057,crixis48,730,False,,2
4057,crixis48,303390,False,2015,2
4057,crixis48,220,True,2014,0
4057,crixis48,266430,True,2014,0
4057,crixis48,312990,True,2014,0
4057,crixis48,246420,True,2014,0
4058,76561198028072716,221100,True,2014,0
4058,76561198028072716,346110,False,,0
4058,76561198028072716,730,True,2015,0
4058,76561198028072716,206210,True,2012,0
4059,76561198088699917,72850,True,2014,0
4059,76561198088699917,380,False,2014,2
4060,76561198048996327,17410,True,2014,0
4061,Crudetasmanian,34010,True,2013,0
4062,n00bsh0t,570,True,2014,0
4063,76561197993847898,249050,True,2015,2
4063,76561197993847898,238320,True,2014,0
4064,Cryotechnic68,298630,True,2015,0
4064,Cryotechnic68,449140,True,,0
4064,Cryotechnic68,313120,False,,2
4064,Cryotechnic68,55140,False,,0
4064,Cryotechnic68,437220,True,,0
4064,Cryotechnic68,730,True,2015,2
4065,caffinatedshit,207610,True,2013,2
4065,caffinatedshit,55230,True,2012,0
4065,caffinatedshit,225600,True,2014,0
4065,caffinatedshit,13140,True,2012,0
4065,caffinatedshit,250320,True,2013,2
4065,caffinatedshit,8190,True,2012,0
4065,caffinatedshit,72850,True,2012,0
4065,caffinatedshit,8980,True,2012,0
4066,76561197970523542,391460,False,,0
4067,baeritto,4000,True,2014,0
4068,76561198080927111,301520,False,,0
4069,Makurii,218620,True,2014,0
4069,Makurii,438490,True,,0
4069,Makurii,22380,True,2015,2
4069,Makurii,248820,True,2014,0
4069,Makurii,102500,True,2014,0
4069,Makurii,730,True,2014,0
4070,76561197976370569,260230,True,2015,0
4071,76561198043043907,322500,True,,0
4071,76561198043043907,393420,True,2015,0
4072,76561198087515956,440,True,2013,0
4072,76561198087515956,230410,True,2015,0
4073,ManaGenji,285920,True,,0
4073,ManaGenji,253250,True,2015,0
4073,ManaGenji,233150,True,2015,0
4074,chewintheCUD,40800,True,2011,0
4075,kanekicg,423880,True,2015,0
4075,kanekicg,207610,True,2013,0
4076,76561198064663981,48700,True,2014,2
4076,76561198064663981,311210,True,,0
4076,76561198064663981,393380,True,,2
4076,76561198064663981,212680,True,2014,0
4076,76561198064663981,730,True,2014,0
4076,76561198064663981,248570,True,2014,0
4077,Mishman44,550,True,2011,0
4078,76561198052266063,265930,False,,2
4078,76561198052266063,22330,True,2015,0
4079,CupcakesArePainful,273350,True,,0
4079,CupcakesArePainful,289130,True,2015,0
4080,theartificialchicken,218230,True,2014,0
4081,76561198066876703,230410,True,2015,0
4081,76561198066876703,275850,False,,0
4082,curtiits,730,True,2013,0
4082,curtiits,311210,True,2015,0
4083,76561198025628522,228380,False,,0
4083,76561198025628522,377160,True,,0
4083,76561198025628522,207610,True,2015,0
4083,76561198025628522,730,True,,2
4083,76561198025628522,244850,True,,0
4083,76561198025628522,242760,True,2015,2
4084,deathbyFIREWORKS,49520,True,2013,0
4085,76561198127261950,207610,True,,2
4085,76561198127261950,230050,True,2015,0
4085,76561198127261950,440,True,2015,2
4085,76561198127261950,72850,True,2015,0
4086,Endless_Funn,440,True,2014,0
4087,BestCyanide,730,True,,0
4088,cybas101,323910,False,,2
4089,76561198077828707,730,True,2015,0
4090,76561198200007842,440,True,,0
4091,CheeZeIzLuv,243870,True,2014,0
4091,CheeZeIzLuv,570,True,2014,2
4091,CheeZeIzLuv,208090,True,2014,2
4091,CheeZeIzLuv,49520,True,2014,0
4091,CheeZeIzLuv,550,True,2014,2
4091,CheeZeIzLuv,440,True,2014,0
4091,CheeZeIzLuv,730,False,,2
4091,CheeZeIzLuv,240,True,,0
4092,76561198071333155,251570,True,2015,0
4093,scyana4,265061,True,2014,0
4093,scyana4,440,True,,0
4093,scyana4,4000,True,2014,0
4093,scyana4,224260,True,2015,2
4093,scyana4,201570,True,2014,0
4093,scyana4,221040,True,2015,2
4093,scyana4,730,True,2015,0
4094,76561198010871424,384310,True,2015,0
4094,76561198010871424,242920,True,2014,0
4095,76561198029595343,108600,True,2014,0
4096,cyroth,214490,True,2015,0
4096,cyroth,250620,True,2014,0
4096,cyroth,207610,True,2013,0
4096,cyroth,1510,True,2011,0
4097,Cystrade,301520,True,2014,0
4098,czarplays,730,True,,0
4099,76561198073775164,105600,True,2014,0
4100,76561198098156317,304930,True,2014,0
4101,catdownstairz,219740,True,2014,0
4101,catdownstairz,218620,True,2013,0
4102,SpookyTheNotCuteGhost,4000,True,2015,0
4102,SpookyTheNotCuteGhost,271590,True,2015,0
4103,d00dlebanger,218620,True,2014,0
4104,hobostan,440,True,2014,0
4105,D3V3D,440,True,2012,0
4106,76561198099408755,384180,True,,0
4106,76561198099408755,286160,True,2015,0
4107,76561198075153461,730,True,,0
4107,76561198075153461,17480,True,,0
4107,76561198075153461,231430,True,,2
4107,76561198075153461,413150,True,,0
4107,76561198075153461,34330,True,2015,0
4108,76561198081375074,244850,True,2015,0
4108,76561198081375074,223470,False,2015,0
4109,76561198043232952,252950,True,,0
4110,gearlan,304930,True,2014,0
4110,gearlan,344760,True,2015,0
4110,gearlan,227680,False,2013,2
4111,heilmeinyellerr,211820,True,2014,0
4112,76561198080574444,49520,True,2015,0
4113,thets_racist,301520,False,2015,0
4113,thets_racist,407210,True,,0
4113,thets_racist,65980,True,2015,0
4113,thets_racist,730,True,,0
4113,thets_racist,250500,True,2015,2
4113,thets_racist,248820,True,2015,2
4114,DakiniBrave,206440,True,2015,2
4114,DakiniBrave,307070,True,2015,0
4114,DakiniBrave,313340,True,2014,0
4114,DakiniBrave,236090,True,2014,0
4115,76561198073350442,326460,True,,0
4116,rengnar,72850,True,,0
4117,DamnPyro,440,True,,0
4118,76561198099912561,233450,True,2015,0
4119,Dubzayyy,332800,True,2014,0
4120,ImTheSloth,271590,False,2015,2
4120,ImTheSloth,265930,True,2014,0
4120,ImTheSloth,208090,True,2014,0
4121,twinturboskyline,55230,True,2014,0
4121,twinturboskyline,1250,True,2014,0
4121,twinturboskyline,39000,True,2014,0
4121,twinturboskyline,4500,True,2014,2
4122,Dansnaith,730,False,2014,2
4123,domeweed,218620,True,2015,0
4123,domeweed,440,True,2014,0
4124,CreepyHuman,432020,True,,2
4125,itsdandytime,399120,False,,0
4125,itsdandytime,730,False,,2
4125,itsdandytime,220860,True,2014,0
4125,itsdandytime,240,True,,0
4125,itsdandytime,281820,False,2014,2
4125,itsdandytime,205950,True,,0
4125,itsdandytime,10180,False,2014,2
4125,itsdandytime,4000,True,2014,0
4126,76561198057762473,304050,True,2015,0
4126,76561198057762473,208090,True,2014,0
4126,76561198057762473,200710,True,2014,0
4127,76561198070549039,244230,False,2014,0
4128,76561198026203679,218620,False,2015,0
4129,76561198089650922,8870,True,,0
4130,76561198024978857,251570,True,2014,0
4130,76561198024978857,417860,True,2015,2
4131,greedylilshit,6060,True,2014,0
4132,rainbowexplosian,224260,True,2013,0
4132,rainbowexplosian,318530,True,2015,0
4132,rainbowexplosian,227100,False,2014,0
4132,rainbowexplosian,104900,True,2014,0
4132,rainbowexplosian,8870,True,2014,2
4132,rainbowexplosian,233720,True,2014,0
4132,rainbowexplosian,380,True,2014,0
4132,rainbowexplosian,203810,True,2012,0
4132,rainbowexplosian,353560,True,2015,0
4133,76561198049669948,440,True,,0
4134,Alpha_m0use,252490,True,2013,2
4135,76561198072343532,730,True,2015,0
4135,76561198072343532,304930,True,2015,0
4135,76561198072343532,218230,True,2013,0
